name,matchup_wins,matchup_losses,points_for,points_against,actual_rank,actual_wins,actual_losses
SLICK RICK,13,1,1854.0800000000002,1338.14,1,23,5
ICEBOX,12,2,1647.56,1330.0,2,23,5
Cho-Kon It,10,4,1679.2000000000003,1589.8999999999999,3,20,8
team ,7,7,1600.7399999999998,1512.9599999999998,6,12,16
Players Club Champion 2025,7,7,1521.2799999999997,1562.9000000000003,9,11,17
Richard Bentley Richard Bentley,7,7,1620.9399999999998,1583.66,5,15,13
InIt2WinIt BeNnEtT,6,8,1571.68,1661.82,8,11,17
Ravens Hunter,6,8,1573.4399999999998,1718.8600000000001,4,16,12
Ballin Ballers,5,9,1515.4199999999998,1520.8000000000002,7,12,16
. FREE MONEY 1.0,5,9,1446.2,1693.8800000000003,10,11,17
Crosstown Traffic,3,11,1407.6,1589.94,11,7,21
GetoffmyDitka Ditka,3,11,1293.42,1628.6999999999998,12,7,21
